trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-125.71393408665145,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-221.88436585984942,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-153.92940247489483,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,11,-32.928285761407466,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-54.16973059535987,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,13,-100.93723037443878,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,0,-39.794008726979534,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-189.36762403566502,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",35,8,-72.79926232928027,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-121.03722721937436,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-163.33672887106903,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-127.5524497574821,"{0: 11, 1: 7, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",30,0,-107.65979686923444,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-69.7921246216054,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",30,0,-166.42120926974513,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-116.0150086389289,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-119.18395367064092,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-129.55144684274052,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-70.01641015103074,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,0,-64.53863824395118,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",35,0,-90.46195212591847,"{0: 24, 1: 6, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,12,-31.540557915463854,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-77.48336506541068,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-36.85773712839319,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",30,7,-26.88125795614441,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,11,-30.231044730465143,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-93.94831218194297,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-92.39891478520212,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,2,-104.33016707076436,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,2,-56.339223915352605,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-77.66534784316872,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-36.991412722795985,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-178.29424410753225,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,14,-8.654758933532051,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,18,-40.31485778448724,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,23,1.4055652719732694,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",30,0,-120.64806048162488,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,8,1.6492267683342996,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
