trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,0,-198.1749861352729,"{0: 4, 1: 11, 2: 1, 3: 1, 4: 3}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,-81.70740474202523,"{0: 9, 1: 10, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,0,-197.67252192384262,"{0: 11, 1: 14, 2: 2, 3: 0, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,-89.10766162806873,"{0: 10, 1: 11, 2: 4, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,0,-28.374635205718704,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",25,0,-38.053913179404276,"{0: 15, 1: 9, 2: 0, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,7,-28.43384854594732,"{0: 6, 1: 7, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-105.55016186605538,"{0: 10, 1: 12, 2: 2, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,0,-43.65627366504125,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,0,-75.63640593908565,"{0: 12, 1: 12, 2: 0, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,0,-37.75632203671327,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,-53.211339879586525,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,-46.860645169355024,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,-24.645494419424065,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,0,-22.055470323275397,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,0,-93.87163813623073,"{0: 9, 1: 8, 2: 2, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",30,0,-56.135293426185626,"{0: 20, 1: 9, 2: 0, 3: 0, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,0,-102.01293125704548,"{0: 10, 1: 13, 2: 1, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,0,-32.3294528463184,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",30,0,-90.91541319696687,"{0: 15, 1: 13, 2: 1, 3: 0, 4: 1}",0
